c,d,n,k,r,gen_time,solve_time,valid,sel_len
12,12,100,10,5,1.1958575248718262,0.024696826934814453,Y,3812
12,12,100,10,5,2.359781503677368,0.05261373519897461,Y,3805
12,12,100,10,5,1.5749304294586182,0.03803682327270508,Y,3808
12,12,100,10,5,1.2234022617340088,0.024369478225708008,Y,3795
12,12,100,10,5,1.4253041744232178,0.03263354301452637,Y,3816
12,12,100,10,5,1.3401870727539062,0.030618667602539062,Y,3835
12,12,100,10,5,1.3054533004760742,0.031155109405517578,Y,3833
12,12,100,10,5,1.3588430881500244,0.02942180633544922,Y,3821
12,12,100,10,5,1.2855303287506104,0.03818988800048828,Y,3800
12,12,100,10,5,1.288571834564209,0.029092073440551758,Y,3814
12,12,200,15,8,5.815683603286743,0.3686797618865967,Y,7738
12,12,200,15,8,6.022346496582031,0.3277878761291504,Y,7750
12,12,200,15,8,6.075766086578369,0.3529627323150635,Y,7747
12,12,200,15,8,6.1407928466796875,0.3151051998138428,Y,7702
12,12,200,15,8,6.2219555377960205,0.4157848358154297,Y,7748
12,12,200,15,8,6.287073135375977,0.4833979606628418,Y,7780
12,12,200,15,8,6.295223951339722,0.3994412422180176,Y,7777
12,12,200,15,8,6.353890895843506,0.3561980724334717,Y,7676
12,12,200,15,8,6.331740856170654,0.3853480815887451,Y,7738
12,12,200,15,8,6.345163106918335,0.4125525951385498,Y,7726
12,12,300,18,9,15.097681283950806,0.7349109649658203,Y,11167
12,12,300,18,9,15.117159605026245,0.7288129329681396,Y,11200
12,12,300,18,9,15.158921480178833,0.7231202125549316,Y,11164
12,12,300,18,9,15.133113861083984,0.8901612758636475,Y,11161
12,12,300,18,9,15.234036207199097,0.7233071327209473,Y,11152
12,12,300,18,9,15.263345718383789,0.7191002368927002,Y,11253
12,12,300,18,9,15.147246837615967,0.7902607917785645,Y,11171
12,12,300,18,9,15.244457960128784,0.8119513988494873,Y,11210
12,12,300,18,9,15.324424982070923,0.9175746440887451,Y,11228
12,12,300,18,9,15.150224685668945,0.8009443283081055,Y,11148
12,12,400,20,10,27.486114025115967,1.3660051822662354,Y,14074
12,12,400,20,10,27.31522226333618,1.2156341075897217,Y,14041
12,12,400,20,10,27.3815655708313,1.3346362113952637,Y,14017
12,12,400,20,10,27.22424840927124,1.2882513999938965,Y,14061
12,12,400,20,10,27.456597805023193,1.3289237022399902,Y,14016
12,12,400,20,10,27.330397844314575,1.1113991737365723,Y,13953
12,12,400,20,10,26.996561288833618,1.2688703536987305,Y,13998
12,12,400,20,10,26.872936010360718,1.3356726169586182,Y,13954
12,12,400,20,10,26.839468240737915,1.3755302429199219,Y,14100
12,12,400,20,10,26.666773796081543,1.2245335578918457,Y,14025
12,12,500,23,12,42.871660232543945,2.2903809547424316,Y,17359
12,12,500,23,12,42.909860134124756,2.562702178955078,Y,17368
12,12,500,23,12,42.87084484100342,2.566823959350586,Y,17266
12,12,500,23,12,42.820738554000854,2.484769821166992,Y,17313
12,12,500,23,12,42.84580135345459,2.3991892337799072,Y,17376
12,12,500,23,12,42.808982849121094,2.4055280685424805,Y,17333
12,12,500,23,12,42.790075063705444,2.517228364944458,Y,17253
12,12,500,23,12,42.91108059883118,2.460811138153076,Y,17354
12,12,500,23,12,42.76080393791199,2.378814935684204,Y,17415
12,12,500,23,12,42.76900029182434,2.183734178543091,Y,17301
12,8,100,10,5,0.9474668502807617,0.04089546203613281,Y,2489
12,8,100,10,5,0.9289758205413818,0.028327226638793945,Y,2496
12,8,100,10,5,0.9702527523040771,0.03141140937805176,Y,2515
12,8,100,10,5,0.9605281352996826,0.032418251037597656,Y,2537
12,8,100,10,5,0.9384262561798096,0.027158737182617188,Y,2484
12,8,100,10,5,0.922236442565918,0.031430721282958984,Y,2495
12,8,100,10,5,0.9359686374664307,0.03771400451660156,Y,2482
12,8,100,10,5,0.927553653717041,0.033095598220825195,Y,2496
12,8,100,10,5,0.9747660160064697,0.03361177444458008,Y,2541
12,8,100,10,5,0.9546444416046143,0.031676530838012695,Y,2528
12,8,200,15,8,4.3162925243377686,0.4084467887878418,Y,5200
12,8,200,15,8,4.278392791748047,0.4080240726470947,Y,5175
12,8,200,15,8,4.318174839019775,0.3631861209869385,Y,5170
12,8,200,15,8,4.24937891960144,0.33704710006713867,Y,5144
12,8,200,15,8,4.288002967834473,0.2725362777709961,Y,5197
12,8,200,15,8,4.301352024078369,0.32778429985046387,Y,5215
12,8,200,15,8,4.228347301483154,0.358320951461792,Y,5226
12,8,200,15,8,4.308789253234863,0.5038862228393555,Y,5204
12,8,200,15,8,4.309421062469482,0.41222572326660156,Y,5156
12,8,200,15,8,4.29907488822937,0.45949673652648926,Y,5192
12,8,300,18,9,9.970643758773804,0.6507833003997803,Y,7484
12,8,300,18,9,9.902727365493774,0.7175440788269043,Y,7502
12,8,300,18,9,9.970428705215454,0.8329603672027588,Y,7436
12,8,300,18,9,9.88324522972107,0.7821133136749268,Y,7436
12,8,300,18,9,9.934572219848633,0.7037410736083984,Y,7407
12,8,300,18,9,9.952393293380737,0.7411797046661377,Y,7470
12,8,300,18,9,9.943540334701538,0.7931790351867676,Y,7448
12,8,300,18,9,9.932209014892578,0.7373278141021729,Y,7440
12,8,300,18,9,9.920418739318848,0.8063690662384033,Y,7432
12,8,300,18,9,9.972252368927002,0.6579961776733398,Y,7507
12,8,400,20,10,17.8895902633667,1.2942187786102295,Y,9375
12,8,400,20,10,17.88593292236328,1.1433541774749756,Y,9391
12,8,400,20,10,17.79033136367798,1.2184841632843018,Y,9329
