n,f,c,d,time,sched_len
10,4,12,12,0.016130856,7372
10,4,12,8,0.011591253999999995,5140
10,4,12,4,0.007487790000000008,2622
10,4,8,8,0.011226180999999988,4364
10,4,8,4,0.0073668080000000025,2332
20,5,12,12,0.07551339600000001,25296
20,5,12,8,0.05174683799999999,16914
20,5,12,4,0.02768237499999998,8368
20,5,8,8,0.043500724000000046,13346
20,5,8,4,0.025409203000000047,6702
30,6,12,12,0.17610904499999996,37230
30,6,12,8,0.12540510800000004,25506
30,6,12,4,0.07027967000000002,12774
30,6,8,8,0.12244204600000008,20132
30,6,8,4,0.06874529800000007,9770
40,7,12,12,0.3867870219999999,51636
40,7,12,8,0.26336981800000014,34340
40,7,12,4,0.14514479700000016,17100
40,7,8,8,0.25626848700000004,26002
40,7,8,4,0.14525953699999983,13098
50,8,12,12,0.6002970169999999,62262
50,8,12,8,0.4206912680000001,42576
50,8,12,4,0.23005086100000005,21340
50,8,8,8,0.4063688990000003,32304
50,8,8,4,0.2252147280000001,16316
60,8,12,12,0.8886231200000001,70604
60,8,12,8,0.6053431159999993,46988
60,8,12,4,0.33905647700000063,23998
60,8,8,8,0.6170163239999997,34858
60,8,8,4,0.33372808200000037,18222
70,9,12,12,1.4001574239999997,106598
70,9,12,8,0.9444711580000007,71132
70,9,12,4,0.5142199660000006,35648
70,9,8,8,0.926464601000001,51976
70,9,8,4,0.5174822540000008,26200
80,9,12,12,1.8354834019999995,114530
80,9,12,8,1.2944357130000004,77768
80,9,12,4,0.7149922980000003,38792
80,9,8,8,1.244222043999999,56624
80,9,8,4,0.6978899369999993,28206
90,10,12,12,2.6686704180000014,129654
90,10,12,8,1.856044647000001,86462
90,10,12,4,1.047049255000001,43208
90,10,8,8,2.128719667000002,61588
90,10,8,4,1.1216752829999983,30942
100,10,12,12,3.346330542999997,137476
100,10,12,8,2.2903954639999995,90950
100,10,12,4,1.2915875330000013,46700
100,10,8,8,2.2302882540000013,64586
100,10,8,4,1.3007305710000026,33018
200,15,12,12,18.843844097,249850
200,15,12,8,13.162826705,168282
200,15,12,4,7.8001838450000065,86018
200,15,8,8,14.039978527999992,118232
200,15,8,4,10.767787166999994,60318
300,18,12,12,57.497045528,393996
300,18,12,8,43.99500967899999,262936
300,18,12,4,32.483338470999996,131506
300,18,8,8,80.02599918300001,182700
300,18,8,4,79.59818818399998,91596
