n,f,c,d,time,sched_len
10,2,12,12,0.004847814999999998,3336
10,2,12,8,0.0033645040000000043,2306
10,2,12,4,0.002125204999999998,1292
10,2,8,8,0.0032309829999999998,1964
10,2,8,4,0.0020904689999999976,1100
20,2,12,12,0.018315912999999996,6628
20,2,12,8,0.01250627700000001,4380
20,2,12,4,0.007053058000000001,2224
20,2,8,8,0.01200921599999999,3466
20,2,8,4,0.006773212000000001,1710
30,2,12,12,0.04169081400000001,8922
30,2,12,8,0.02897770799999999,6072
30,2,12,4,0.015636206000000014,2982
30,2,8,8,0.027504111999999997,4536
30,2,8,4,0.015069142000000008,2352
40,2,12,12,0.075278967,10658
40,2,12,8,0.05103282600000003,7088
40,2,12,4,0.02731761599999999,3618
40,2,8,8,0.04830100000000004,5128
40,2,8,4,0.025966644999999955,2566
50,2,12,12,0.115959482,11582
50,2,12,8,0.08049978699999993,7960
50,2,12,4,0.04275522500000006,3950
50,2,8,8,0.07687338899999996,5558
50,2,8,4,0.04140298200000003,2794
60,2,12,12,0.172300542,12652
60,2,12,8,0.11414987499999996,8428
60,2,12,4,0.061756323,4292
60,2,8,8,0.10984868600000008,5832
60,2,8,4,0.06066127499999996,3022
70,2,12,12,0.228462025,13178
70,2,12,8,0.15634087699999988,8812
70,2,12,4,0.08227726800000013,4434
70,2,8,8,0.1508177620000002,6036
70,2,8,4,0.08065451100000032,3038
80,2,12,12,0.30304495900000017,13792
80,2,12,8,0.21022422500000015,9380
80,2,12,4,0.10988414000000013,4768
80,2,8,8,0.20277976600000036,6398
80,2,8,4,0.10833082400000027,3236
90,2,12,12,0.38301732899999985,14160
90,2,12,8,0.2599743729999999,9492
90,2,12,4,0.13637800700000025,4764
90,2,8,8,0.25260696199999977,6426
90,2,8,4,0.1357207090000001,3240
100,2,12,12,0.48298882399999954,14794
100,2,12,8,0.3236867829999994,9814
100,2,12,4,0.17439848700000038,5092
100,2,8,8,0.31488072800000033,6612
100,2,8,4,0.1756792589999998,3444
200,2,12,12,2.177490099,17096
200,2,12,8,1.4730109050000006,11552
200,2,12,4,0.7966167100000003,6008
200,2,8,8,1.5082986500000004,7768
200,2,8,4,0.8381800720000001,4072
300,2,12,12,5.221619913,18516
300,2,12,8,3.5394600240000003,12444
300,2,12,4,1.8829523829999992,6372
300,2,8,8,3.7150672399999998,8396
300,2,8,4,2.0077078979999996,4348
400,2,12,12,9.656586302999997,19408
400,2,12,8,6.599476177,13072
400,2,12,4,3.5914037240000027,6736
400,2,8,8,7.2524715669999935,8848
400,2,8,4,4.155776394,4624
500,2,12,12,15.714923333999998,20300
500,2,12,8,11.053857254000008,13700
500,2,12,4,6.2717798930000015,7100
500,2,8,8,12.376955201000001,9300
500,2,8,4,6.8126207549999975,4900
10,2,12,12,0.004835730000010585,3408
10,2,12,8,0.003410575000003746,2302
10,2,12,4,0.0021231449999987717,1192
10,2,8,8,0.003285938000004762,2026
10,2,8,4,0.002072486000002982,1014
20,2,12,12,0.01826687500000901,6646
20,2,12,8,0.012613992999988,4406
20,2,12,4,0.007015744000000268,2128
20,2,8,8,0.01210029900001075,3516
20,2,8,4,0.006842153999997436,1794
30,2,12,12,0.04159980200000746,8920
30,2,12,8,0.029105338999997343,6116
30,2,12,4,0.01582740899999635,3094
30,2,8,8,0.027696848999994472,4566
30,2,8,4,0.015092922999997427,2270
40,2,12,12,0.07528777499999251,10522
40,2,12,8,0.05115319399999407,7066
40,2,12,4,0.027392889999987347,3558
40,2,8,8,0.048541653000000906,5116
40,2,8,4,0.02640692299999614,2584
50,2,12,12,0.11613133199999481,11642
50,2,12,8,0.08143988799999136,7904
50,2,12,4,0.042888140000002295,3976
50,2,8,8,0.07720279699999821,5582
50,2,8,4,0.04154982500000415,2792
60,2,12,12,0.17321953299999393,12660
60,2,12,8,0.11467209100000275,8468
60,2,12,4,0.06223534400000119,4350
60,2,8,8,0.1104143740000012,5826
60,2,8,4,0.06076196800000844,3016
70,2,12,12,0.22987942800000383,13180
70,2,12,8,0.15613115600000071,8814
70,2,12,4,0.08286061399999767,4452
70,2,8,8,0.15177797199999077,6018
70,2,8,4,0.08050622899999382,3038
80,2,12,12,0.30320066899999176,13802
80,2,12,8,0.21198683900000503,9428
80,2,12,4,0.11061645299999157,4742
80,2,8,8,0.20289273000000208,6392
80,2,8,4,0.10858791999999085,3230
90,2,12,12,0.38359375699999987,14142
90,2,12,8,0.26017683099999545,9474
90,2,12,4,0.13771577699999682,4776
90,2,8,8,0.25427988799999923,6426
90,2,8,4,0.13692891299999133,3252
100,2,12,12,0.4851978070000058,14736
100,2,12,8,0.3262144149999955,9772
100,2,12,4,0.17526927999999486,5098
100,2,8,8,0.3179853310000027,6606
100,2,8,4,0.175753370999999,3444
200,2,12,12,2.1629347869999975,17096
200,2,12,8,1.4821788970000114,11540
200,2,12,4,0.8046576170000037,6008
200,2,8,8,1.5088900199999955,7768
200,2,8,4,0.8450266300000067,4072
300,2,12,12,5.20958654399999,18516
300,2,12,8,3.5321189050000044,12444
300,2,12,4,1.8892306170000097,6372
300,2,8,8,3.7479834340000195,8396
