n,f,c,d,time,sched_len
10,4,12,12,0.009770793,7286
10,4,12,8,0.006966038000000001,4942
10,4,12,4,0.004490301000000002,2568
10,4,8,8,0.006808265999999993,4444
10,4,8,4,0.004454993000000004,2468
20,5,12,12,0.047876087,25108
20,5,12,8,0.033428714,17014
20,5,12,4,0.019261785000000003,8408
20,5,8,8,0.032401416000000016,13444
20,5,8,4,0.019002154999999993,6670
30,6,12,12,0.13472529800000002,37904
30,6,12,8,0.09532739000000001,26016
30,6,12,4,0.05306808799999996,12976
30,6,8,8,0.09274252599999999,20042
30,6,8,4,0.052833477999999934,9988
40,7,12,12,0.294275156,50932
40,7,12,8,0.20322225100000013,34038
40,7,12,4,0.11467085799999999,17228
40,7,8,8,0.2014967259999998,26190
40,7,8,4,0.11414583100000009,13002
50,8,12,12,0.46785775900000015,62266
50,8,12,8,0.32822627900000034,42874
50,8,12,4,0.17899247900000015,21390
50,8,8,8,0.31588446400000025,32534
50,8,8,4,0.1768920249999999,16334
60,8,12,12,0.6963877140000001,71074
60,8,12,8,0.4733025320000004,46686
60,8,12,4,0.2656222640000001,24012
60,8,8,8,0.46027608600000036,35046
60,8,8,4,0.2625774999999999,18174
70,9,12,12,1.078894183,106960
70,9,12,8,0.7502859769999999,70970
70,9,12,4,0.42589795300000066,35622
70,9,8,8,0.7434076370000007,51862
70,9,8,4,0.40725017199999947,26178
80,9,12,12,1.4403400180000006,114510
80,9,12,8,1.0068990849999988,77792
80,9,12,4,0.5618624409999988,39102
80,9,8,8,1.0066286909999995,56642
80,9,8,4,0.5604366389999988,28356
90,10,12,12,2.0916057750000014,129262
90,10,12,8,1.4497322920000002,86506
90,10,12,4,0.7954702850000004,42998
90,10,8,8,1.4381749779999993,61880
90,10,8,4,0.8112794359999995,30830
100,10,12,12,2.6470153189999976,137672
100,10,12,8,1.804061378,91100
100,10,12,4,1.022530230000001,46772
100,10,8,8,1.7464450629999995,64358
100,10,8,4,1.0258836890000005,33088
200,15,12,12,15.141727028999998,249860
200,15,12,8,10.700989952999997,168376
200,15,12,4,6.421466550999995,85786
200,15,8,8,11.534497443,118228
200,15,8,4,9.527190515000001,60440
300,18,12,12,47.237504664000014,394194
